ano,total,adim,asdi,be,cds-pp,mdp-cde,pcp,pev,ppd-psd,ppm,prd,ps,psn,udp,ueds,pan
1975,250,1,0,0,16,5,30,0,81,0,0,116,0,1,0,0
1976,263,0,0,0,42,0,40,0,73,0,0,107,0,1,0,0
1979,250,0,0,0,43,3,44,0,80,5,0,74,0,1,0,0
1980,250,0,4,0,46,2,39,0,82,6,0,66,0,1,4,0
1983,250,0,0,0,30,3,41,0,75,0,0,101,0,0,0,0
1985,250,0,0,0,22,3,35,0,88,0,45,57,0,0,0,0
1987,250,0,0,0,4,0,29,2,148,0,7,60,0,0,0,0
1991,230,0,0,0,5,0,15,2,135,0,0,72,1,0,0,0
1995,230,0,0,0,15,0,13,2,88,0,0,112,0,0,0,0
1999,230,0,0,2,15,0,15,2,81,0,0,115,0,0,0,0
2002,230,0,0,3,14,0,10,2,105,0,0,96,0,0,0,0
2005,230,0,0,8,12,0,12,2,75,0,0,121,0,0,0,0
2009,230,0,0,16,21,0,13,2,81,0,0,97,0,0,0,0
2011,230,0,0,8,24,0,14,2,108,0,0,74,0,0,0,0
2015,230,0,0,19,18,0,15,2,86,0,0,85,0,0,0,1
